R_i_min,beta_legs,model_confidence_threshold,TCS_threshold,TP,FP,FN
70.000, 1.000, 75.000, 50.000, 6306.000, 1099.000, 45435.000
70.000, 1.000, 75.000, 80.000, 6306.000, 1099.000, 45435.000
70.000, 1.000, 75.000, 85.000, 6306.000, 1099.000, 45435.000
70.000, 1.000, 75.000, 100.000, 6306.000, 1099.000, 45435.000
70.000, 1.000, 75.000, 200.000, 6306.000, 1099.000, 45435.000
70.000, 1.000, 75.000, 700.000, 4693.000, 607.000, 47048.000
70.000, 1.000, 80.000, 1.000, 6259.000, 1021.000, 45482.000
70.000, 1.000, 80.000, 50.000, 6259.000, 1021.000, 45482.000
70.000, 1.000, 80.000, 80.000, 6259.000, 1021.000, 45482.000
70.000, 1.000, 80.000, 85.000, 6259.000, 1021.000, 45482.000
70.000, 1.000, 80.000, 100.000, 6259.000, 1021.000, 45482.000
70.000, 1.000, 80.000, 200.000, 6259.000, 1021.000, 45482.000
70.000, 1.000, 80.000, 700.000, 4664.000, 570.000, 47077.000
70.000, 1.000, 85.000, 1.000, 6191.000, 946.000, 45550.000
70.000, 1.000, 85.000, 50.000, 6191.000, 946.000, 45550.000
70.000, 1.000, 85.000, 80.000, 6191.000, 946.000, 45550.000
70.000, 1.000, 85.000, 85.000, 6191.000, 946.000, 45550.000
70.000, 1.000, 85.000, 100.000, 6191.000, 946.000, 45550.000
70.000, 1.000, 85.000, 200.000, 6191.000, 946.000, 45550.000
70.000, 1.000, 85.000, 700.000, 4615.000, 541.000, 47126.000
70.000, 1.000, 90.000, 1.000, 6101.000, 817.000, 45640.000
70.000, 1.000, 90.000, 50.000, 6101.000, 817.000, 45640.000
70.000, 1.000, 90.000, 80.000, 6101.000, 817.000, 45640.000
70.000, 1.000, 90.000, 85.000, 6101.000, 817.000, 45640.000
70.000, 1.000, 90.000, 100.000, 6101.000, 817.000, 45640.000
70.000, 1.000, 90.000, 200.000, 6101.000, 817.000, 45640.000
70.000, 1.000, 90.000, 700.000, 4562.000, 474.000, 47179.000
70.000, 1.000, 95.000, 1.000, 5850.000, 646.000, 45891.000
70.000, 1.000, 95.000, 50.000, 5850.000, 646.000, 45891.000
70.000, 1.000, 95.000, 80.000, 5850.000, 646.000, 45891.000
70.000, 1.000, 95.000, 85.000, 5850.000, 646.000, 45891.000
70.000, 1.000, 95.000, 100.000, 5850.000, 646.000, 45891.000
70.000, 1.000, 95.000, 200.000, 5850.000, 646.000, 45891.000
70.000, 1.000, 95.000, 700.000, 4404.000, 395.000, 47337.000
70.000, 1.000, 100.000, 1.000, 1267.000, 15.000, 50474.000
70.000, 1.000, 100.000, 50.000, 1267.000, 15.000, 50474.000
70.000, 1.000, 100.000, 80.000, 1267.000, 15.000, 50474.000
70.000, 1.000, 100.000, 85.000, 1267.000, 15.000, 50474.000
70.000, 1.000, 100.000, 100.000, 1267.000, 15.000, 50474.000
70.000, 1.000, 100.000, 200.000, 1267.000, 15.000, 50474.000
70.000, 1.000, 100.000, 700.000, 1026.000, 11.000, 50715.000
