R_i_min,beta_legs,model_confidence_threshold,TCS_threshold,TP,FP,FN
70.000, 1.000, 45.000, 100.000, 456.000, 247.000, 133.000
70.000, 1.000, 45.000, 200.000, 455.000, 230.000, 134.000
70.000, 1.000, 45.000, 700.000, 445.000, 164.000, 144.000
70.000, 1.000, 50.000, 1.000, 455.000, 253.000, 134.000
70.000, 1.000, 50.000, 10.000, 455.000, 253.000, 134.000
70.000, 1.000, 50.000, 20.000, 455.000, 252.000, 134.000
70.000, 1.000, 50.000, 30.000, 455.000, 252.000, 134.000
70.000, 1.000, 50.000, 40.000, 455.000, 250.000, 134.000
70.000, 1.000, 50.000, 50.000, 455.000, 250.000, 134.000
70.000, 1.000, 50.000, 60.000, 455.000, 248.000, 134.000
70.000, 1.000, 50.000, 70.000, 455.000, 248.000, 134.000
70.000, 1.000, 50.000, 75.000, 455.000, 248.000, 134.000
70.000, 1.000, 50.000, 80.000, 455.000, 247.000, 134.000
70.000, 1.000, 50.000, 85.000, 455.000, 247.000, 134.000
70.000, 1.000, 50.000, 90.000, 455.000, 247.000, 134.000
70.000, 1.000, 50.000, 100.000, 455.000, 246.000, 134.000
70.000, 1.000, 50.000, 200.000, 454.000, 229.000, 135.000
70.000, 1.000, 50.000, 700.000, 445.000, 163.000, 144.000
70.000, 1.000, 55.000, 1.000, 455.000, 247.000, 134.000
70.000, 1.000, 55.000, 10.000, 455.000, 247.000, 134.000
70.000, 1.000, 55.000, 20.000, 455.000, 246.000, 134.000
70.000, 1.000, 55.000, 30.000, 455.000, 246.000, 134.000
70.000, 1.000, 55.000, 40.000, 455.000, 244.000, 134.000
70.000, 1.000, 55.000, 50.000, 455.000, 244.000, 134.000
70.000, 1.000, 55.000, 60.000, 455.000, 242.000, 134.000
70.000, 1.000, 55.000, 70.000, 455.000, 242.000, 134.000
70.000, 1.000, 55.000, 75.000, 455.000, 242.000, 134.000
70.000, 1.000, 55.000, 80.000, 455.000, 241.000, 134.000
70.000, 1.000, 55.000, 85.000, 455.000, 241.000, 134.000
70.000, 1.000, 55.000, 90.000, 455.000, 241.000, 134.000
70.000, 1.000, 55.000, 100.000, 455.000, 240.000, 134.000
70.000, 1.000, 55.000, 200.000, 454.000, 224.000, 135.000
70.000, 1.000, 55.000, 700.000, 445.000, 159.000, 144.000
70.000, 1.000, 60.000, 1.000, 455.000, 242.000, 134.000
70.000, 1.000, 60.000, 10.000, 455.000, 242.000, 134.000
70.000, 1.000, 60.000, 20.000, 455.000, 241.000, 134.000
70.000, 1.000, 60.000, 30.000, 455.000, 241.000, 134.000
70.000, 1.000, 60.000, 40.000, 455.000, 239.000, 134.000
70.000, 1.000, 60.000, 50.000, 455.000, 239.000, 134.000
70.000, 1.000, 60.000, 60.000, 455.000, 237.000, 134.000
70.000, 1.000, 60.000, 70.000, 455.000, 237.000, 134.000
