R_i_min,beta_legs,model_confidence_threshold,TCS_threshold,TP,FP,FN
70.000, 1.000, 35.000, 85.000, 18080.000, 10810.000, 33661.000
70.000, 1.000, 35.000, 90.000, 18064.000, 10746.000, 33677.000
70.000, 1.000, 35.000, 100.000, 18038.000, 10619.000, 33703.000
70.000, 1.000, 35.000, 200.000, 17686.000, 9445.000, 34055.000
70.000, 1.000, 35.000, 700.000, 16011.000, 5994.000, 35730.000
70.000, 1.000, 40.000, 1.000, 18137.000, 11365.000, 33604.000
70.000, 1.000, 40.000, 10.000, 18137.000, 11363.000, 33604.000
70.000, 1.000, 40.000, 20.000, 18131.000, 11277.000, 33610.000
70.000, 1.000, 40.000, 30.000, 18125.000, 11182.000, 33616.000
70.000, 1.000, 40.000, 40.000, 18119.000, 11078.000, 33622.000
70.000, 1.000, 40.000, 50.000, 18109.000, 10932.000, 33632.000
70.000, 1.000, 40.000, 60.000, 18095.000, 10773.000, 33646.000
70.000, 1.000, 40.000, 70.000, 18079.000, 10656.000, 33662.000
70.000, 1.000, 40.000, 75.000, 18069.000, 10600.000, 33672.000
70.000, 1.000, 40.000, 80.000, 18055.000, 10525.000, 33686.000
70.000, 1.000, 40.000, 85.000, 18044.000, 10470.000, 33697.000
70.000, 1.000, 40.000, 90.000, 18028.000, 10409.000, 33713.000
70.000, 1.000, 40.000, 100.000, 18003.000, 10293.000, 33738.000
70.000, 1.000, 40.000, 200.000, 17652.000, 9162.000, 34089.000
70.000, 1.000, 40.000, 700.000, 15995.000, 5824.000, 35746.000
70.000, 1.000, 45.000, 1.000, 18078.000, 11016.000, 33663.000
70.000, 1.000, 45.000, 10.000, 18078.000, 11014.000, 33663.000
70.000, 1.000, 45.000, 20.000, 18072.000, 10930.000, 33669.000
70.000, 1.000, 45.000, 30.000, 18066.000, 10838.000, 33675.000
70.000, 1.000, 45.000, 40.000, 18060.000, 10740.000, 33681.000
70.000, 1.000, 45.000, 50.000, 18050.000, 10602.000, 33691.000
70.000, 1.000, 45.000, 60.000, 18037.000, 10446.000, 33704.000
70.000, 1.000, 45.000, 70.000, 18021.000, 10332.000, 33720.000
70.000, 1.000, 45.000, 75.000, 18011.000, 10280.000, 33730.000
70.000, 1.000, 45.000, 80.000, 17997.000, 10206.000, 33744.000
70.000, 1.000, 45.000, 85.000, 17986.000, 10155.000, 33755.000
70.000, 1.000, 45.000, 90.000, 17970.000, 10098.000, 33771.000
70.000, 1.000, 45.000, 100.000, 17946.000, 9988.000, 33795.000
70.000, 1.000, 45.000, 200.000, 17602.000, 8906.000, 34139.000
70.000, 1.000, 45.000, 700.000, 15966.000, 5680.000, 35775.000
70.000, 1.000, 50.000, 1.000, 18026.000, 10691.000, 33715.000
70.000, 1.000, 50.000, 10.000, 18026.000, 10689.000, 33715.000
70.000, 1.000, 50.000, 20.000, 18020.000, 10605.000, 33721.000
70.000, 1.000, 50.000, 30.000, 18014.000, 10519.000, 33727.000
70.000, 1.000, 50.000, 40.000, 18009.000, 10423.000, 33732.000
70.000, 1.000, 50.000, 50.000, 18000.000, 10288.000, 33741.000
70.000, 1.000, 50.000, 60.000, 17987.000, 10142.000, 33754.000
70.000, 1.000, 50.000, 70.000, 17971.000, 10037.000, 33770.000
70.000, 1.000, 50.000, 75.000, 17961.000, 9986.000, 33780.000
70.000, 1.000, 50.000, 80.000, 17948.000, 9914.000, 33793.000
70.000, 1.000, 50.000, 85.000, 17937.000, 9866.000, 33804.000
70.000, 1.000, 50.000, 90.000, 17921.000, 9810.000, 33820.000
70.000, 1.000, 50.000, 100.000, 17897.000, 9705.000, 33844.000
70.000, 1.000, 50.000, 200.000, 17556.000, 8661.000, 34185.000
70.000, 1.000, 50.000, 700.000, 15940.000, 5550.000, 35801.000
70.000, 1.000, 55.000, 1.000, 17946.000, 10326.000, 33795.000
70.000, 1.000, 55.000, 10.000, 17946.000, 10324.000, 33795.000
70.000, 1.000, 55.000, 20.000, 17940.000, 10248.000, 33801.000
70.000, 1.000, 55.000, 30.000, 17934.000, 10167.000, 33807.000
70.000, 1.000, 55.000, 40.000, 17929.000, 10075.000, 33812.000
70.000, 1.000, 55.000, 50.000, 17922.000, 9950.000, 33819.000
70.000, 1.000, 55.000, 60.000, 17910.000, 9815.000, 33831.000
70.000, 1.000, 55.000, 70.000, 17894.000, 9716.000, 33847.000
70.000, 1.000, 55.000, 75.000, 17885.000, 9668.000, 33856.000
70.000, 1.000, 55.000, 80.000, 17873.000, 9598.000, 33868.000
70.000, 1.000, 55.000, 85.000, 17862.000, 9554.000, 33879.000
70.000, 1.000, 55.000, 90.000, 17846.000, 9499.000, 33895.000
70.000, 1.000, 55.000, 100.000, 17823.000, 9401.000, 33918.000
70.000, 1.000, 55.000, 200.000, 17487.000, 8393.000, 34254.000
70.000, 1.000, 55.000, 700.000, 15891.000, 5396.000, 35850.000
