R_i_min,beta_legs,model_confidence_threshold,TCS_i_h_threshold,suspicious_frame_score_threshold,TP_suspicious_features,FP_suspicious_features,FN_suspicious_features,TP_suspicious_predictions,FP_suspicious_predictions,FN_suspicious_predictions,TP_suspicious_features_and_predictions,FP_suspicious_features_and_predictions,FN_suspicious_features_and_predictions,TP_suspicious_MC,FP_suspicious_MC,FN_suspicious_MC
70.000, 1.000, 50.000, 100.000, 1.000, 2608.000, 461.000, 5905.000, 5113.000, 40.000, 3400.000, 5926.000, 495.000, 2587.000, 7922.000, 2078.000, 591.000
70.000, 1.000, 50.000, 100.000, 10.000, 2601.000, 460.000, 5912.000, 5113.000, 40.000, 3400.000, 5924.000, 494.000, 2589.000, 7922.000, 2078.000, 591.000
70.000, 1.000, 50.000, 100.000, 50.000, 2479.000, 456.000, 6034.000, 5085.000, 40.000, 3428.000, 5861.000, 490.000, 2652.000, 7922.000, 2078.000, 591.000
70.000, 1.000, 50.000, 100.000, 100.000, 2318.000, 446.000, 6195.000, 4986.000, 37.000, 3527.000, 5733.000, 478.000, 2780.000, 7922.000, 2078.000, 591.000
70.000, 1.000, 55.000, 100.000, 1.000, 2737.000, 460.000, 5792.000, 4884.000, 33.000, 3645.000, 5813.000, 490.000, 2716.000, 7924.000, 2060.000, 605.000
70.000, 1.000, 55.000, 100.000, 10.000, 2730.000, 459.000, 5799.000, 4884.000, 33.000, 3645.000, 5811.000, 489.000, 2718.000, 7924.000, 2060.000, 605.000
70.000, 1.000, 55.000, 100.000, 50.000, 2605.000, 455.000, 5924.000, 4855.000, 33.000, 3674.000, 5743.000, 485.000, 2786.000, 7924.000, 2060.000, 605.000
70.000, 1.000, 55.000, 100.000, 100.000, 2435.000, 445.000, 6094.000, 4764.000, 30.000, 3765.000, 5614.000, 473.000, 2915.000, 7924.000, 2060.000, 605.000
70.000, 1.000, 60.000, 100.000, 1.000, 2920.000, 460.000, 5630.000, 4652.000, 25.000, 3898.000, 5723.000, 482.000, 2827.000, 7931.000, 2036.000, 619.000
70.000, 1.000, 60.000, 100.000, 10.000, 2913.000, 459.000, 5637.000, 4652.000, 25.000, 3898.000, 5721.000, 481.000, 2829.000, 7931.000, 2036.000, 619.000
70.000, 1.000, 60.000, 100.000, 50.000, 2796.000, 455.000, 5754.000, 4627.000, 25.000, 3923.000, 5653.000, 477.000, 2897.000, 7931.000, 2036.000, 619.000
70.000, 1.000, 60.000, 100.000, 100.000, 2623.000, 445.000, 5927.000, 4536.000, 22.000, 4014.000, 5519.000, 465.000, 3031.000, 7931.000, 2036.000, 619.000
70.000, 1.000, 65.000, 100.000, 1.000, 3079.000, 462.000, 5496.000, 4370.000, 20.000, 4205.000, 5625.000, 480.000, 2950.000, 7941.000, 2009.000, 634.000
70.000, 1.000, 65.000, 100.000, 10.000, 3072.000, 461.000, 5503.000, 4370.000, 20.000, 4205.000, 5623.000, 479.000, 2952.000, 7941.000, 2009.000, 634.000
70.000, 1.000, 65.000, 100.000, 50.000, 2956.000, 457.000, 5619.000, 4346.000, 20.000, 4229.000, 5552.000, 475.000, 3023.000, 7941.000, 2009.000, 634.000
70.000, 1.000, 65.000, 100.000, 100.000, 2775.000, 446.000, 5800.000, 4259.000, 18.000, 4316.000, 5414.000, 463.000, 3161.000, 7941.000, 2009.000, 634.000
70.000, 1.000, 70.000, 100.000, 1.000, 3248.000, 460.000, 5345.000, 4091.000, 12.000, 4502.000, 5555.000, 472.000, 3038.000, 7941.000, 1992.000, 652.000
70.000, 1.000, 70.000, 100.000, 10.000, 3241.000, 459.000, 5352.000, 4091.000, 12.000, 4502.000, 5553.000, 471.000, 3040.000, 7941.000, 1992.000, 652.000
70.000, 1.000, 70.000, 100.000, 50.000, 3125.000, 455.000, 5468.000, 4064.000, 12.000, 4529.000, 5475.000, 467.000, 3118.000, 7941.000, 1992.000, 652.000
70.000, 1.000, 70.000, 100.000, 100.000, 2944.000, 443.000, 5649.000, 3986.000, 12.000, 4607.000, 5336.000, 455.000, 3257.000, 7941.000, 1992.000, 652.000
70.000, 1.000, 75.000, 100.000, 1.000, 3470.000, 456.000, 5148.000, 3784.000, 7.000, 4834.000, 5512.000, 463.000, 3106.000, 7948.000, 1965.000, 670.000
70.000, 1.000, 75.000, 100.000, 10.000, 3463.000, 455.000, 5155.000, 3784.000, 7.000, 4834.000, 5510.000, 462.000, 3108.000, 7948.000, 1965.000, 670.000
70.000, 1.000, 75.000, 100.000, 50.000, 3346.000, 451.000, 5272.000, 3767.000, 7.000, 4851.000, 5435.000, 458.000, 3183.000, 7948.000, 1965.000, 670.000
70.000, 1.000, 75.000, 100.000, 100.000, 3172.000, 440.000, 5446.000, 3700.000, 7.000, 4918.000, 5294.000, 447.000, 3324.000, 7948.000, 1965.000, 670.000
70.000, 1.000, 80.000, 100.000, 1.000, 3736.000, 449.000, 4915.000, 3424.000, 6.000, 5227.000, 5515.000, 455.000, 3136.000, 7961.000, 1927.000, 690.000
70.000, 1.000, 80.000, 100.000, 10.000, 3728.000, 448.000, 4923.000, 3424.000, 6.000, 5227.000, 5512.000, 454.000, 3139.000, 7961.000, 1927.000, 690.000
70.000, 1.000, 80.000, 100.000, 50.000, 3614.000, 445.000, 5037.000, 3411.000, 6.000, 5240.000, 5439.000, 451.000, 3212.000, 7961.000, 1927.000, 690.000
70.000, 1.000, 80.000, 100.000, 100.000, 3451.000, 434.000, 5200.000, 3341.000, 6.000, 5310.000, 5293.000, 440.000, 3358.000, 7961.000, 1927.000, 690.000
70.000, 1.000, 85.000, 100.000, 1.000, 4021.000, 445.000, 4665.000, 2956.000, 4.000, 5730.000, 5493.000, 449.000, 3193.000, 7958.000, 1882.000, 728.000
70.000, 1.000, 85.000, 100.000, 10.000, 4013.000, 444.000, 4673.000, 2955.000, 4.000, 5731.000, 5487.000, 448.000, 3199.000, 7958.000, 1882.000, 728.000
70.000, 1.000, 85.000, 100.000, 50.000, 3908.000, 441.000, 4778.000, 2948.000, 4.000, 5738.000, 5415.000, 445.000, 3271.000, 7958.000, 1882.000, 728.000
70.000, 1.000, 85.000, 100.000, 100.000, 3740.000, 430.000, 4946.000, 2891.000, 4.000, 5795.000, 5269.000, 434.000, 3417.000, 7958.000, 1882.000, 728.000
70.000, 1.000, 90.000, 100.000, 1.000, 4454.000, 435.000, 4304.000, 2411.000, 0.000, 6347.000, 5607.000, 435.000, 3151.000, 7954.000, 1789.000, 804.000
70.000, 1.000, 90.000, 100.000, 10.000, 4447.000, 434.000, 4311.000, 2411.000, 0.000, 6347.000, 5602.000, 434.000, 3156.000, 7954.000, 1789.000, 804.000
70.000, 1.000, 90.000, 100.000, 50.000, 4349.000, 431.000, 4409.000, 2403.000, 0.000, 6355.000, 5523.000, 431.000, 3235.000, 7954.000, 1789.000, 804.000
70.000, 1.000, 90.000, 100.000, 100.000, 4187.000, 419.000, 4571.000, 2365.000, 0.000, 6393.000, 5377.000, 419.000, 3381.000, 7954.000, 1789.000, 804.000
70.000, 1.000, 95.000, 100.000, 1.000, 5126.000, 415.000, 3812.000, 1664.000, 0.000, 7274.000, 5890.000, 415.000, 3048.000, 7932.000, 1556.000, 1006.000
